en_query,cs_query,gen_query
clear most recent timer,sabse recent timer ko clear kardo, sabse recent timer ko clear karo 
do i have a lot of time left,Kya mere paas bohot zyada time bacha hai, kya mere paas time bacha he 
are the roads icy this afternoon ,Kya aaj afternoon sadkein icy hei?, kya aj dopahar roads barfeeley hai 
remove all alarms,sabi alarms hata do, sabhi alarms ko hata do 
move the reminder time for the study group meeting next wednesday to 11 pm ,the study group meeting reminder ko next wednesday raat ke 11 bhaje tak le jae, team meeting ke liye reminder ko move kare ki 
upcoming events at the hawaii convention center,The Hawaii Convention Center me upcoming events., hollywood ny ke fun events ke liye events 
is it hot outside ,Kya bahar hot hai?, kya bahar hot hai 
message yao that ill be late due to heavy traffic ,Yao ko message karo ki I'll be late due to heavy traffic., late ko message kare ki i m stuck in traffic 
use whatsapp to message my dad saying : can you come tomorrow at three pm thank you ,"WhatsApp use karo my dad ko message karne ke liye , aur ye bolo : can you come tomorrow at three pm? Thank you!", meri behen ke bare mei message ko send karo aur
start chat requests,chat requests shuru kare, chat requests shuru kare 
please change my tax filing reminder from monthly beginning in february to weekly beginning in march ,"Please my tax filing reminder ko badle from monthly, beginning in february, to weekly, beginning in march.", please mere weekly reminder ko change kare to 
change all june alarms to august,June ke all alarms ko change karo to august, sabhi alarms august ke liye badlein 
friday weather,Friday ka weather, friday ka weather 
arts and crafts shows in okc in january,OKC me hone wale Arts and Crafts shows hai in january, 2018 mei january me nutcracker dancing group me 
is the farmer s market open this weekend in oakland park,kya the Farmer's Market open hoga this weekend Oakland Park me, kya is weekend st george mei ski resort hai 
set a station for me of the music from the 60 s,Mere liye ek station ko set kariye jis mein 60 's ka music ho, mere liye 60 of the hospital ke zariye music sta
take the reminders from tomorrow and move them to today ,kal se reminders le aur unhe aaj par le aaye, reminders ko aaj se kal se badal kar do aur 4 pm 
arrange an alarm for 3,alarm ki vyavastha karein for 3, 3 liye alarm ko ek bar 
i dont need chicken anymore delete that reminder,"Mujhe ab chicken ki zaroorat nahi hai, wo reminder ko delete karo", mujhe wo reminder me se chhutkaara paayen chahiye 
forget timer,timer ko bhuljao, timer ko dikhaiye 
how many events are happening in antioch this weekend,Antioch mein this weekend kitne events ho rahe hai, is weekend par kitne miles chalne wale events 
id like to hear pink floyd ,Mai Pink Floyd sunna chahta hoon, tom ko pink ka mausam pasand hai 
add another 30 minutes to my walking timer today ,Today mere walking timer me another 30 minutes add kare, mere aaj ek timer me ek aur cat me add kare 
children s christmas events this month,Iss Mahine baccho ke christmas kaaryakram, is mahine christmas ke aas pas events hai 
what is the status of the timer ,Timer ka status kya hai?, timer ka status kya hai 
tell me please what is the weather in west roger park,mujhe please west roger park me weather kya hai batayen, please mujhe batao ki davenport me is summer par wea
remove my weekly reminder to play video games with chad,My weekly reminder ko hataiye to play video games with chad, mere weekly reminder ko ek report hata do 
skip this track,Is track ko skip kijiye, ye track ko skip kijiye 
who is sending me these messages ,Mujhe ye messages kaun karraha hai?, mujhe dikhao ke ye ne kya wo hai 
will it be icy today,kya today icy hoga, kya aj garmi hone wali hai 
set alarm to 6 am for everyday,alarm ko set kardo for everyday 6 am ko, har din ke liye subah 6 baje alarm set kare 
turn off music,music band kijiye, music band kijiye 
write a text to the fiction book of the month group ,fiction book of the month group ko ek text likhiye., group me group text karo ki the phone group me 
tell joshua happy birthday ,Joshua ko happy birthday boliye, aaie happy birthday reminder 
how hot is it in death valley ,Death Valley mein kitni garmi hai ?, death valley me kitna hot hai 
what is the precipitation percentage for tomorrow ,Kal ke liye precipitation percentage kya he?, kal ke liye highest humidity kya hai 
turn on the hottest tracks of 2017,2017 ke hottest tracks ko chalo kijiye, the wall of s ke liye music 
skip this song,Is song ko chhod dijiye, ye song ko skip kare 
can you remind my husband to buy our son a bike on thursday ,kya ap mere pati ko thursday ke din humare bete ko bike kharidne ke liye yaad dila sakte hai ?, kya aap muje remind kara sakte he to attend my o
message jane asking if she can come over ,Jane ko message karke pucho agar wah aa sakti hai, jane ko message karo aur pucho ki she was the fun 
how much time is left on my timer,mere timer me kitna waqt bacha hai, mere timer par kitna time bacha he 
text robert and tell him that im on my way now,Robert ko text karo aur kaho ki I'm on my way, matt ko text karo aur bolo ki i m on my way 
